X,Y,Z
6.6204,49.9566,-0.2226
5.6195,50.0684,-0.2247
4.6168,50.1602,-0.2269
3.6126,50.2319,-0.2290
2.6075,50.2836,-0.2312
1.6017,50.3153,-0.2333
0.5957,50.3268,-0.2355
-0.4102,50.3183,-0.2376
-1.4154,50.2897,-0.2398
-2.4197,50.2411,-0.2419
-3.4226,50.1724,-0.2441
-4.4237,50.0838,-0.2463
-5.4227,49.9752,-0.2484
-6.4191,49.8468,-0.2506
-7.4125,49.6985,-0.2528
-8.4026,49.5304,-0.2550
-9.3889,49.3427,-0.2571
-10.3711,49.1354,-0.2593
-11.3487,48.9085,-0.2615
-12.3215,48.6623,-0.2637
-13.2889,48.3967,-0.2659
-14.2506,48.1119,-0.2681
-15.2063,47.8080,-0.2703
-16.1556,47.4852,-0.2725
-17.0980,47.1436,-0.2747
-18.0332,46.7833,-0.2769
-18.9562,46.4063,-0.2791
-19.8803,46.0065,-0.2815
-20.7914,45.5904,-0.2839
-21.6938,45.1563,-0.2863
-22.5872,44.7044,-0.2887
-23.4713,44.2348,-0.2911
-24.3456,43.7478,-0.2935
-25.2098,43.2436,-0.2959
-26.0636,42.7223,-0.2983
-26.9067,42.1842,-0.3008
-27.7387,41.6295,-0.3032
-28.5593,41.0584,-0.3056
-29.3682,40.4712,-0.3080
-30.1650,39.8680,-0.3104
-30.9494,39.2492,-0.3129
-31.7212,38.6150,-0.3153
-32.4801,37.9657,-0.3177
-33.2257,37.3015,-0.3202
-33.9577,36.6226,-0.3226
-34.6759,35.9295,-0.3251
-35.3799,35.2222,-0.3275
-36.0696,34.5012,-0.3300
-36.7446,33.7668,-0.3324
-37.4047,33.0191,-0.3349
-38.0496,32.2586,-0.3373
-38.6790,31.4855,-0.3398
-39.2928,30.7001,-0.3423
-39.8907,29.9028,-0.3447
-40.4744,29.0912,-0.3472
-41.0372,28.2734,-0.3498
-41.5854,27.4419,-0.3525
-42.1167,26.5997,-0.3551
-42.6311,25.7474,-0.3578
-43.1282,24.8851,-0.3604
-43.6079,24.0132,-0.3631
-44.0700,23.1321,-0.3658
-44.5143,22.2421,-0.3684
-44.9407,21.3437,-0.3711
-45.3490,20.4371,-0.3738
-45.7391,19.5227,-0.3765
-46.1107,18.6009,-0.3792
-46.4638,17.6720,-0.3818
-46.7982,16.7365,-0.3845
-47.1138,15.7947,-0.3872
-47.4105,14.8470,-0.3899
-47.6881,13.8937,-0.3926
-47.9466,12.9352,-0.3953
-48.1859,11.9720,-0.3980
-48.4058,11.0044,-0.4007
-48.6064,10.0328,-0.4034
-48.7875,9.0576,-0.4062
-48.9490,8.0791,-0.4089
-49.0909,7.0978,-0.4116
-49.2132,6.1141,-0.4143
-49.3158,5.1283,-0.4171
-49.3987,4.1409,-0.4198
-49.4619,3.1522,-0.4225
-49.5050,2.1626,-0.4253
-49.5280,1.1726,-0.4283
-49.5313,0.1825,-0.4312
-49.5148,-0.8073,-0.4341
-49.4785,-1.7963,-0.4370
-49.4226,-2.7843,-0.4399
-49.3469,-3.7707,-0.4428
-49.2516,-4.7551,-0.4458
-49.1366,-5.7373,-0.4487
-49.0022,-6.7168,-0.4516
-48.8482,-7.6932,-0.4546
-48.6748,-8.6662,-0.4575
-48.4820,-9.6353,-0.4605
-48.2700,-10.6001,-0.4634
-48.0388,-11.5604,-0.4664
-47.7885,-12.5156,-0.4693
-47.5192,-13.4655,-0.4723
-47.2311,-14.4096,-0.4752
-46.9243,-15.3476,-0.4782
-46.5989,-16.2790,-0.4812
-46.2550,-17.2036,-0.4842
-45.8927,-18.1210,-0.4871
-45.5124,-19.0308,-0.4901
-45.1139,-19.9326,-0.4931
-44.6977,-20.8261,-0.4961
-44.2638,-21.7109,-0.4991
-43.8123,-22.5867,-0.5021
-43.3436,-23.4532,-0.5051
-42.8583,-24.3090,-0.5081
-42.3546,-25.1564,-0.5113
-41.8347,-25.9925,-0.5144
-41.2984,-26.8178,-0.5176
-40.7458,-27.6321,-0.5208
-40.1772,-28.4351,-0.5240
-39.5928,-29.2264,-0.5271
-38.9928,-30.0057,-0.5303
-38.3775,-30.7727,-0.5335
-37.7471,-31.5271,-0.5367
-37.1020,-32.2687,-0.5399
-36.4422,-32.9970,-0.5431
-35.7683,-33.7119,-0.5463
-35.0803,-34.4131,-0.5495
-34.3786,-35.1002,-0.5527
-33.6634,-35.7730,-0.5559
-32.9351,-36.4313,-0.5591
-32.1940,-37.0748,-0.5624
-31.4403,-37.7033,-0.5656
-30.6743,-38.3164,-0.5688
-29.8965,-38.9140,-0.5721
-29.1070,-39.4958,-0.5753
-28.3061,-40.0616,-0.5786
-27.4944,-40.6112,-0.5818
-26.6719,-41.1444,-0.5851
-25.8392,-41.6610,-0.5883
-24.9965,-42.1607,-0.5916
-24.1441,-42.6433,-0.5949
-23.2824,-43.1088,-0.5982
-22.4116,-43.5566,-0.6015
-21.5322,-43.9868,-0.6049
-20.6446,-44.3993,-0.6084
-19.7491,-44.7938,-0.6118
-18.8461,-45.1703,-0.6152
-17.9359,-45.5287,-0.6186
-17.0190,-45.8687,-0.6221
-16.0956,-46.1903,-0.6255
-15.1662,-46.4933,-0.6290
-14.2311,-46.7776,-0.6324
-13.2907,-47.0432,-0.6359
-12.3453,-47.2898,-0.6393
-11.3955,-47.5175,-0.6428
-10.4414,-47.7261,-0.6463
-9.4836,-47.9156,-0.6498
-8.5224,-48.0859,-0.6532
-7.5581,-48.2369,-0.6567
-6.5913,-48.3687,-0.6602
-5.6222,-48.4810,-0.6637
-4.6512,-48.5740,-0.6672
-3.6788,-48.6475,-0.6707
-2.7053,-48.7015,-0.6742
-1.7311,-48.7361,-0.6778
-0.7565,-48.7513,-0.6813
0.2179,-48.7469,-0.6848
1.1918,-48.7231,-0.6884
2.1649,-48.6799,-0.6919
3.1367,-48.6172,-0.6955
4.1069,-48.5351,-0.6990
5.0750,-48.4335,-0.7027
6.0408,-48.3125,-0.7064
7.0037,-48.1723,-0.7101
7.9634,-48.0130,-0.7137
8.9195,-47.8345,-0.7174
9.8718,-47.6370,-0.7211
10.8197,-47.4206,-0.7248
11.7628,-47.1854,-0.7285
12.7009,-46.9314,-0.7322
