contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
17.0501,57.5531,-0.0550,-0.0373,-0.1260,0.9913,0.1575,-0.2816,-0.9505,-0.1314,-0.0022,-0.9588,0.2840,-0.0000,0.0776,-0.0003,0
16.0891,57.8294,-0.0550,-0.0352,-0.1265,0.9913,0.1575,-0.2657,-0.9551,-0.1313,-0.0022,-0.9634,0.2680,-0.0000,0.0776,-0.0003,0
15.1234,58.0892,-0.0550,-0.0331,-0.1271,0.9913,0.1575,-0.2498,-0.9594,-0.1314,-0.0022,-0.9677,0.2519,-0.0000,0.0776,-0.0003,0
14.1536,58.3331,-0.0550,-0.0310,-0.1277,0.9913,0.1575,-0.2337,-0.9634,-0.1314,-0.0022,-0.9718,0.2358,-0.0000,0.0776,-0.0003,0
13.1800,58.5610,-0.0550,-0.0288,-0.1281,0.9913,0.1575,-0.2177,-0.9671,-0.1313,-0.0022,-0.9756,0.2196,-0.0000,0.0776,-0.0003,0
12.2025,58.7722,-0.0550,-0.0267,-0.1286,0.9913,0.1575,-0.2015,-0.9706,-0.1314,-0.0022,-0.9791,0.2033,-0.0000,0.0776,-0.0003,0
11.2218,58.9673,-0.0550,-0.0246,-0.1290,0.9913,0.1575,-0.1853,-0.9739,-0.1314,-0.0022,-0.9824,0.1869,-0.0000,0.0776,-0.0003,0
10.2379,59.1462,-0.0550,-0.0224,-0.1294,0.9913,0.1575,-0.1691,-0.9768,-0.1313,-0.0022,-0.9853,0.1706,-0.0000,0.0776,-0.0003,0
9.2512,59.3084,-0.0550,-0.0202,-0.1298,0.9913,0.1575,-0.1528,-0.9795,-0.1314,-0.0022,-0.9881,0.1541,-0.0000,0.0776,-0.0003,0
8.2619,59.4544,-0.0550,-0.0181,-0.1301,0.9913,0.1575,-0.1364,-0.9819,-0.1314,-0.0022,-0.9905,0.1376,-0.0000,0.0776,-0.0003,0
7.2703,59.5838,-0.0550,-0.0159,-0.1304,0.9913,0.1575,-0.1201,-0.9840,-0.1314,-0.0022,-0.9926,0.1211,-0.0000,0.0776,-0.0003,0
6.2767,59.6965,-0.0550,-0.0137,-0.1307,0.9913,0.1575,-0.1037,-0.9859,-0.1314,-0.0022,-0.9945,0.1046,-0.0000,0.0776,-0.0003,0
5.2814,59.7929,-0.0550,-0.0116,-0.1308,0.9913,0.1575,-0.0872,-0.9875,-0.1314,-0.0022,-0.9961,0.0880,-0.0000,0.0776,-0.0003,0
4.2846,59.8725,-0.0550,-0.0094,-0.1310,0.9913,0.1575,-0.0708,-0.9888,-0.1314,-0.0022,-0.9974,0.0714,-0.0000,0.0776,-0.0003,0
3.2866,59.9355,-0.0550,-0.0072,-0.1312,0.9913,0.1575,-0.0543,-0.9898,-0.1314,-0.0022,-0.9985,0.0548,-0.0000,0.0776,-0.0003,0
2.2877,59.9822,-0.0550,-0.0050,-0.1312,0.9913,0.1575,-0.0378,-0.9906,-0.1313,-0.0022,-0.9993,0.0381,-0.0000,0.0776,-0.0003,0
1.2881,60.0118,-0.0550,-0.0028,-0.1313,0.9913,0.1575,-0.0213,-0.9911,-0.1314,-0.0022,-0.9998,0.0215,-0.0000,0.0776,-0.0003,0
0.2882,60.0249,-0.0550,-0.0006,-0.1314,0.9913,0.1575,0.0048,0.9913,0.1314,-0.0022,-1.0000,0.0048,0.0000,0.0776,-0.0003,0
