X,Y,Z
54.1490,23.7522,-0.1327
53.7231,24.6772,-0.1342
53.2817,25.5948,-0.1356
52.8244,26.5044,-0.1371
52.3516,27.4058,-0.1386
51.8638,28.2990,-0.1401
51.3599,29.1830,-0.1417
50.8408,30.0580,-0.1433
50.3072,30.9240,-0.1449
49.7582,31.7802,-0.1466
49.1951,32.6269,-0.1483
48.6177,33.4637,-0.1499
48.0257,34.2900,-0.1516
47.4200,35.1062,-0.1533
46.8004,35.9116,-0.1549
46.1670,36.7060,-0.1566
45.5204,37.4894,-0.1583
44.8604,38.2614,-0.1600
44.1873,39.0218,-0.1617
43.5015,39.7704,-0.1633
42.8028,40.5069,-0.1650
42.0919,41.2313,-0.1667
41.3687,41.9432,-0.1684
40.6333,42.6423,-0.1701
39.8865,43.3288,-0.1718
39.1278,44.0020,-0.1735
38.3578,44.6620,-0.1753
37.5769,45.3087,-0.1770
36.7848,45.9416,-0.1787
35.9823,46.5607,-0.1804
35.1694,47.1660,-0.1821
34.3462,47.7568,-0.1839
33.5132,48.3336,-0.1856
32.6706,48.8958,-0.1873
31.8184,49.4432,-0.1891
30.9563,49.9767,-0.1908
30.0867,50.4929,-0.1927
29.2075,50.9948,-0.1946
28.3202,51.4817,-0.1965
27.4245,51.9526,-0.1984
26.5211,52.4083,-0.2003
25.6103,52.8484,-0.2022
24.6920,53.2724,-0.2042
23.7668,53.6807,-0.2061
22.8349,54.0730,-0.2080
21.8965,54.4490,-0.2099
20.9520,54.8089,-0.2119
20.0015,55.1523,-0.2138
19.0455,55.4793,-0.2157
18.0841,55.7899,-0.2177
17.1177,56.0836,-0.2196
16.1466,56.3609,-0.2216
15.1710,56.6212,-0.2235
14.1912,56.8646,-0.2255
13.2076,57.0914,-0.2274
12.2203,57.3008,-0.2294
11.2298,57.4934,-0.2314
10.2363,57.6689,-0.2333
9.2400,57.8271,-0.2353
8.2413,57.9683,-0.2373
7.2406,58.0923,-0.2392
6.2379,58.1988,-0.2412
5.2338,58.2884,-0.2432
4.2285,58.3604,-0.2452
3.2222,58.4151,-0.2472
2.2153,58.4526,-0.2492
1.2080,58.4717,-0.2514
0.2008,58.4738,-0.2535
-0.8062,58.4589,-0.2556
-1.8126,58.4261,-0.2579
-2.8181,58.3763,-0.2600
-3.8225,58.3093,-0.2622
-4.8253,58.2248,-0.2644
-5.8264,58.1233,-0.2665
-6.8255,58.0046,-0.2687
-7.8221,57.8686,-0.2709
-8.8162,57.7158,-0.2730
-9.8072,57.5457,-0.2752
-10.7951,57.3587,-0.2774
-11.7794,57.1548,-0.2796
-12.7599,56.9339,-0.2818
-13.7363,56.6964,-0.2840
-14.7083,56.4421,-0.2862
-15.6756,56.1710,-0.2884
-16.6380,55.8837,-0.2906
-17.5951,55.5797,-0.2928
-18.5467,55.2593,-0.2951
-19.4925,54.9229,-0.2972
-20.4322,54.5700,-0.2995
-21.3655,54.2012,-0.3017
-22.2923,53.8166,-0.3039
-23.2120,53.4158,-0.3062
-24.1247,52.9997,-0.3084
-25.0299,52.5679,-0.3106
-25.9291,52.1196,-0.3129
-26.8167,51.6576,-0.3152
-27.6976,51.1792,-0.3176
-28.5700,50.6859,-0.3201
-29.4338,50.1779,-0.3224
-30.2885,49.6550,-0.3249
-31.1339,49.1177,-0.3273
-31.9699,48.5661,-0.3297
-32.7960,48.0001,-0.3321
-33.6122,47.4202,-0.3345
-34.4182,46.8265,-0.3369
-35.2136,46.2189,-0.3394
-35.9984,45.5980,-0.3418
-36.7723,44.9638,-0.3442
-37.5349,44.3163,-0.3467
-38.2863,43.6561,-0.3491
-39.0260,42.9831,-0.3516
-39.7540,42.2976,-0.3540
-40.4699,41.5999,-0.3565
-41.1736,40.8899,-0.3589
-41.8648,40.1681,-0.3614
-42.5435,39.4347,-0.3638
-43.2092,38.6898,-0.3663
-43.8621,37.9337,-0.3688
-44.5016,37.1666,-0.3713
-45.1278,36.3887,-0.3737
-45.7405,35.6004,-0.3762
-46.3393,34.8016,-0.3787
-46.9242,33.9929,-0.3812
-47.4952,33.1745,-0.3836
-48.0514,32.3461,-0.3862
-48.5931,31.5083,-0.3889
-49.1203,30.6617,-0.3915
-49.6325,29.8060,-0.3942
-50.1301,28.9419,-0.3968
-50.6127,28.0695,-0.3994
-51.0798,27.1890,-0.4021
-51.5319,26.3008,-0.4048
-51.9686,25.4052,-0.4075
-52.3896,24.5022,-0.4102
-52.7950,23.5924,-0.4128
-53.1846,22.6758,-0.4155
-53.5584,21.7528,-0.4182
-53.9162,20.8237,-0.4208
-54.2577,19.8887,-0.4236
-54.5833,18.9482,-0.4262
-54.8925,18.0023,-0.4289
-55.1837,17.0510,-0.4321
-55.4660,16.0971,-0.4330
-55.7275,15.1374,-0.4352
-55.9743,14.1740,-0.4369
-56.2047,13.2065,-0.4385
-56.4181,12.2354,-0.4401
-56.6149,11.2607,-0.4418
-56.7949,10.2830,-0.4434
-56.9579,9.3024,-0.4450
-57.1040,8.3192,-0.4466
-57.2333,7.3338,-0.4482
-57.3454,6.3464,-0.4499
-57.4408,5.3549,-0.4515
-57.5185,4.3667,-0.4531
-57.5792,3.3751,-0.4549
-57.6229,2.3827,-0.4565
-57.6495,1.3898,-0.4582
-57.6589,0.3966,-0.4599
-57.6514,-0.5964,-0.4616
-57.6266,-1.5891,-0.4633
-57.5849,-2.5811,-0.4650
-57.5261,-3.5721,-0.4666
-57.4502,-4.5619,-0.4683
-57.3573,-5.5501,-0.4700
-57.2474,-6.5365,-0.4716
-57.1206,-7.5207,-0.4733
-56.9769,-8.5025,-0.4750
-56.8163,-9.4816,-0.4766
-56.6388,-10.4577,-0.4783
-56.4447,-11.4305,-0.4799
-56.2338,-12.3997,-0.4816
-56.0063,-13.3650,-0.4833
-55.7623,-14.3262,-0.4849
-55.5017,-15.2829,-0.4866
-55.2248,-16.2349,-0.4882
-54.9315,-17.1819,-0.4898
-54.6220,-18.1236,-0.4915
-54.2964,-19.0598,-0.4931
-53.9547,-19.9902,-0.4948
-53.5971,-20.9144,-0.4964
-53.2238,-21.8322,-0.4980
-52.8346,-22.7434,-0.4997
-52.4298,-23.6476,-0.5013
-52.0095,-24.5446,-0.5030
-51.5737,-25.4340,-0.5048
-51.1228,-26.3158,-0.5064
-50.6568,-27.1897,-0.5081
-50.1758,-28.0552,-0.5098
-49.6802,-28.9122,-0.5115
-49.1699,-29.7606,-0.5132
-48.6450,-30.5999,-0.5149
-48.1059,-31.4299,-0.5166
-47.5527,-32.2505,-0.5183
-46.9854,-33.0614,-0.5200
-46.4044,-33.8623,-0.5216
-45.8096,-34.6530,-0.5233
-45.2015,-35.4332,-0.5250
-44.5800,-36.2028,-0.5267
-43.9455,-36.9615,-0.5284
-43.2980,-37.7091,-0.5300
-42.6379,-38.4454,-0.5317
-41.9652,-39.1701,-0.5334
-41.2802,-39.8831,-0.5350
-40.5832,-40.5840,-0.5367
-39.8742,-41.2728,-0.5384
-39.1536,-41.9493,-0.5400
-38.4214,-42.6132,-0.5417
