contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
33.1060,39.8353,-0.0550,-0.0839,-0.1010,0.9913,0.1575,0.6336,0.7624,0.1313,-0.0025,-0.7691,0.6392,0.0000,0.0775,-0.0004,0
32.3308,40.4670,-0.0550,-0.0820,-0.1026,0.9913,0.1575,0.6188,0.7745,0.1313,-0.0025,-0.7813,0.6242,0.0000,0.0775,-0.0004,0
31.5435,41.0836,-0.0550,-0.0800,-0.1042,0.9913,0.1575,0.6037,0.7863,0.1313,-0.0025,-0.7932,0.6090,0.0000,0.0775,-0.0004,0
30.7445,41.6849,-0.0550,-0.0780,-0.1057,0.9913,0.1575,0.5884,0.7978,0.1313,-0.0025,-0.8048,0.5936,0.0000,0.0775,-0.0004,0
29.9341,42.2707,-0.0550,-0.0759,-0.1072,0.9913,0.1575,0.5729,0.8090,0.1313,-0.0025,-0.8161,0.5779,0.0000,0.0775,-0.0004,0
29.1124,42.8407,-0.0550,-0.0738,-0.1086,0.9913,0.1575,0.5572,0.8199,0.1313,-0.0025,-0.8271,0.5621,0.0000,0.0775,-0.0004,0
28.2800,43.3947,-0.0550,-0.0717,-0.1100,0.9913,0.1575,0.5413,0.8305,0.1313,-0.0025,-0.8378,0.5460,0.0000,0.0775,-0.0004,0
27.4370,43.9326,-0.0550,-0.0696,-0.1114,0.9913,0.1575,0.5251,0.8408,0.1313,-0.0025,-0.8482,0.5297,0.0000,0.0775,-0.0004,0
26.5837,44.4541,-0.0550,-0.0674,-0.1127,0.9913,0.1575,0.5088,0.8508,0.1313,-0.0025,-0.8582,0.5132,0.0000,0.0775,-0.0004,0
25.7206,44.9590,-0.0550,-0.0652,-0.1140,0.9913,0.1575,0.4923,0.8605,0.1313,-0.0025,-0.8680,0.4966,0.0000,0.0775,-0.0004,0
24.8478,45.4471,-0.0550,-0.0630,-0.1152,0.9913,0.1575,0.4756,0.8698,0.1313,-0.0025,-0.8774,0.4797,0.0000,0.0775,-0.0004,0
23.9658,45.9184,-0.0550,-0.0608,-0.1164,0.9913,0.1575,0.4587,0.8788,0.1313,-0.0025,-0.8865,0.4627,0.0000,0.0775,-0.0004,0
23.0749,46.3725,-0.0550,-0.0585,-0.1176,0.9913,0.1575,0.4416,0.8875,0.1313,-0.0025,-0.8953,0.4455,0.0000,0.0775,-0.0004,0
